"Transactions  for Checking account ...849 as of 08/26/2023 04:21:47 PM ET"
"Date","Type","Check #","Description","Withdrawal (-)","Deposit (+)","RunningBalance"
"Pending Transactions are not reflected within this sort criterion."
"Posted Transactions"
"08/25/2023","ACH","","GRASSHOPPER BANK NEWACCDEP  882 -LLP9P0S","$100.00","","$34,767.90"
"08/25/2023","ACH","","1ST BANKCARD CTR CR CRD PMT 230825~ Tran","$62.72","","$34,867.90"
"08/25/2023","ACH","","0150KS95 NEW ENG PAYROLL 082523~ Tran: A","","$1,120.68","$34,930.62"
"08/23/2023","DEPOSIT","","Deposit Mobile Banking","","$250.00","$33,809.94"
"08/18/2023","ACH","","RAMP REIMBURSE C DUVALLET  CLAIRE DUVALL","","$99.86","$33,559.94"
"08/18/2023","ACH","","C117804 SCIENCE DIR DEP 230817","","$2,900.55","$33,460.08"
"08/16/2023","ACH","","CAPITAL ONE CRCARDPMT 230815","$2,813.21","","$30,559.53"
"08/10/2023","ACH","","RAMP ACCTVERIFY 230809 NTE*ZZZ*DEBIT CHE","$0.36","","$33,372.74"
"08/09/2023","ACH","","RAMP ACCTVERIFY 230809 NTE*ZZZ*DEBIT CHE","","$0.27","$33,373.10"
"08/09/2023","ACH","","RAMP ACCTVERIFY 230809 NTE*ZZZ*DEBIT CHE","","$0.09","$33,372.83"
"08/08/2023","CHECK","116","Check Paid #116","$30.00","","$33,372.74"
"08/04/2023","CHECK","117","Check Paid #117","$9,606.40","","$33,402.74"
"08/04/2023","ACH","","C117804 SCIENCE DIR DEP 230803","","$2,753.95","$43,009.14"
"08/01/2023","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$40,255.19"
"08/01/2023","ACH","","UNITEDWHOLESALE LOAN PAYMT 080123","$2,893.32","","$40,355.19"
"07/31/2023","INTADJUST","","Interest Paid","","$17.27","$43,248.51"
"07/27/2023","ACH","","CITI AUTOPAY PAYMENT 230726","$46.16","","$43,231.24"
"07/25/2023","ACH","","1ST BANKCARD CTR CR CRD PMT 230725~ Tran","$62.72","","$43,277.40"
"07/21/2023","ACH","","C117804 SCIENCE DIR DEP 230720","","$2,901.48","$43,340.12"
"07/17/2023","ACH","","CAPITAL ONE CRCARDPMT 230715","$1,103.42","","$40,438.64"
"07/11/2023","CHECK","115","Check Paid #115","$50.00","","$41,542.06"
"07/10/2023","CHECK","114","Check Paid #114","$12,008.00","","$41,592.06"
"07/07/2023","ACH","","C117804 SCIENCE DIR DEP 230706","","$2,753.95","$53,600.06"
"07/03/2023","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$50,846.11"
"07/03/2023","ACH","","UNITEDWHOLESALE LOAN PAYMT 070123","$2,893.32","","$50,946.11"
"06/30/2023","INTADJUST","","Interest Paid","","$19.05","$53,839.43"
"06/30/2023","ATMREBATE","","ATM Fee Rebate","","$6.00","$53,820.38"
"06/27/2023","ACH","","CITI AUTOPAY PAYMENT 230626","$88.29","","$53,814.38"
"06/26/2023","ACH","","1ST BANKCARD CTR CR CRD PMT 230626~ Tran","$102.08","","$53,902.67"
"06/23/2023","ACH","","C117804 SCIENCE DIR DEP 230622","","$2,901.48","$54,004.75"
"06/22/2023","DEPOSIT","","Deposit Mobile Banking","","$46.43","$51,103.27"
"06/16/2023","ACH","","CAPITAL ONE CRCARDPMT 230615","$475.84","","$51,056.84"
"06/09/2023","CHECK","111","Check Paid #111","$15.00","","$51,532.68"
"06/09/2023","ACH","","C117804 SCIENCE DIR DEP 230608","","$2,753.95","$51,547.68"
"06/07/2023","CHECK","113","Check Paid #113","$6.25","","$48,793.73"
"06/06/2023","ATM","","CVS   STOR 125  DUBLIN PETERBOROUGH","$403.00","","$48,799.98"
"06/06/2023","ATM","","CVS   STOR 125  DUBLIN PETERBOROUGH","$403.00","","$49,202.98"
